0 1 48
0 2 49
0 3 4
2 4 27
1 5 27
1 6 7
1 7 9
3 8 32
4 9 1
9 10 23
3 11 23
4 11 10
5 12 29
5 13 33
12 14 48
4 14 46
3 14 9
2 14 15
10 15 3
8 16 46
13 17 32
5 18 0
15 18 6
11 19 4
18 20 20
20 21 8
20 22 28
22 23 32
22 24 7
22 25 29
16 26 41
14 27 19
19 28 33
2 28 11
18 29 1
15 29 17
9 29 35
13 29 16
6 30 46
14 30 5
12 31 38
29 31 48
15 31 24
28 32 18
28 33 36
17 34 4
17 35 26
30 36 7
30 37 13
30 38 4
6 39 27
21 40 21
38 41 47
36 41 40
18 41 11
14 42 34
27 43 33
17 43 18
39 43 29
20 43 16
34 44 9
7 45 13
39 46 40
16 46 41
31 46 9
40 47 39
25 47 18
41 47 30
45 48 15
45 49 23
45 50 11
